example_id                                                                      | status  | run_time        |
------------------------------------------------------------------------------- | ------- | --------------- |
./spec/features/spree/admin/orders_spec.rb[1:1]                                 | passed  | 0.22693 seconds |
./spec/features/spree/admin/products_spec.rb[1:1:1]                             | pending | 0 seconds       |
./spec/features/spree/admin/return_authorizations_spec.rb[1:1]                  | pending | 0.00001 seconds |
./spec/features/spree/admin/settings_spec.rb[1:1]                               | pending | 0 seconds       |
./spec/features/spree/admin/shipments_spec.rb[1:1:1:1]                          | pending | 0 seconds       |
./spec/features/spree/admin/shipments_spec.rb[1:1:1:2]                          | pending | 0 seconds       |
./spec/features/spree/admin/shipments_spec.rb[1:1:1:3]                          | pending | 0 seconds       |
./spec/features/spree/admin/shipments_spec.rb[1:1:2]                            | pending | 0 seconds       |
./spec/features/spree/admin/stock_management_spec.rb[1:1:1:1:1]                 | pending | 0 seconds       |
./spec/features/spree/admin/stock_management_spec.rb[1:1:1:1:2]                 | pending | 0 seconds       |
./spec/features/spree/admin/stock_management_spec.rb[1:1:1:1:3]                 | pending | 0 seconds       |
./spec/features/spree/admin/stock_management_spec.rb[1:1:1:1:4]                 | pending | 0 seconds       |
./spec/features/spree/admin/stock_management_spec.rb[1:1:1:1:5]                 | pending | 0 seconds       |
./spec/features/spree/admin/stock_management_spec.rb[1:1:1:1:6]                 | pending | 0 seconds       |
./spec/features/spree/admin/stock_management_spec.rb[1:1:1:2:1]                 | pending | 0 seconds       |
./spec/features/spree/admin/stock_management_spec.rb[1:1:2:1]                   | pending | 0.00001 seconds |
./spec/features/spree/admin/stock_spec.rb[1:1:1]                                | pending | 0 seconds       |
./spec/features/spree/admin/stock_spec.rb[1:2:1]                                | pending | 0 seconds       |
./spec/features/spree/admin/stock_spec.rb[1:2:2]                                | pending | 0 seconds       |
./spec/features/spree/admin/stock_spec.rb[1:2:3]                                | pending | 0 seconds       |
./spec/features/spree/admin/stock_spec.rb[1:2:4]                                | pending | 0 seconds       |
./spec/features/spree/admin/stock_spec.rb[1:2:5]                                | pending | 0 seconds       |
./spec/features/spree/admin/suppliers_spec.rb[1:1:1]                            | pending | 0.00001 seconds |
./spec/features/spree/admin/suppliers_spec.rb[1:1:2]                            | pending | 0 seconds       |
./spec/features/spree/admin/suppliers_spec.rb[1:1:3]                            | pending | 0 seconds       |
./spec/features/spree/admin/suppliers_spec.rb[1:2:1]                            | pending | 0.00001 seconds |
./spec/features/spree/admin/suppliers_spec.rb[1:2:2]                            | pending | 0.00001 seconds |
./spec/features/spree/admin/suppliers_spec.rb[1:3:1]                            | passed  | 6.3 seconds     |
./spec/models/spree/order_decorator_spec.rb[1:1:1]                              | pending | 0 seconds       |
./spec/models/spree/order_decorator_spec.rb[1:1:2]                              | pending | 0 seconds       |
./spec/models/spree/order_decorator_spec.rb[1:2:1:1]                            | pending | 0.00001 seconds |
./spec/models/spree/order_decorator_spec.rb[1:2:2:1]                            | pending | 0 seconds       |
./spec/models/spree/payment_decorator_spec.rb[1:1]                              | passed  | 0.01303 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:1:1:1:1]   | passed  | 0.02627 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:1:1:1:2]   | passed  | 0.02451 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:1:1:1:3]   | passed  | 0.02444 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:1:1:2:1]   | passed  | 0.02874 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:1:1:3:1]   | passed  | 0.03115 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:2:1:1]     | passed  | 0.14643 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:2:2:1]     | passed  | 0.059 seconds   |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:2:2:2]     | passed  | 0.06007 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:2:2:3]     | passed  | 0.06436 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:2:3:1]     | passed  | 0.06188 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:2:4:1]     | passed  | 0.09867 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:2:5:1:1]   | passed  | 0.06288 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:2:5:1:2]   | passed  | 0.0756 seconds  |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:2:5:1:3]   | passed  | 0.06538 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:2:5:2]     | passed  | 0.06289 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:2:5:3]     | passed  | 0.06159 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:3:1:1:1]   | passed  | 0.03959 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:3:1:1:2]   | passed  | 0.03834 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:3:1:1:3]   | passed  | 0.0412 seconds  |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:3:1:2:1]   | passed  | 0.04041 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:3:1:3:1]   | passed  | 0.04217 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:3:1:4]     | passed  | 0.04005 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:3:1:5]     | passed  | 0.03866 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:3:2:1:1:1] | passed  | 0.22069 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:3:2:1:2:1] | passed  | 0.40368 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:3:2:2:1:1] | passed  | 0.03782 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:3:2:2:1:2] | passed  | 0.03008 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:3:2:2:1:3] | passed  | 0.02939 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:3:2:2:2]   | passed  | 0.03521 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:3:2:2:3]   | passed  | 0.04106 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:4:1:1]     | passed  | 0.02922 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:4:2:1]     | passed  | 0.02699 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:4:3:1:1]   | passed  | 0.07545 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:4:3:1:2]   | passed  | 0.07516 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:4:3:1:3]   | passed  | 0.08008 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:4:4:1:1]   | passed  | 0.06092 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:4:4:1:2]   | passed  | 0.05962 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:4:4:1:3]   | passed  | 0.05959 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:5:1:1:1]   | passed  | 0.07848 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:5:1:1:2]   | passed  | 0.07661 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:5:1:1:3]   | passed  | 0.07205 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:5:2:1:1]   | passed  | 0.05792 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:5:2:1:2]   | passed  | 0.06075 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:5:2:1:3]   | passed  | 0.06498 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:5:2:2:1]   | passed  | 0.06046 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:5:2:3:1]   | passed  | 0.06212 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:6:1:1]     | passed  | 0.02672 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:6:2:1]     | passed  | 0.02709 seconds |
